date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
15-08-2019,Fatehabad,1,Satisfactory,52,PM10
16-08-2019,Fatehabad,1,Good,42,PM10
17-08-2019,Fatehabad,1,Good,32,PM10
18-08-2019,Fatehabad,1,Good,17,OZONE
19-08-2019,Fatehabad,1,Good,40,PM10
20-08-2019,Fatehabad,1,Good,47,PM10
21-08-2019,Fatehabad,1,Satisfactory,98,PM10
22-08-2019,Fatehabad,1,Satisfactory,88,PM10
23-08-2019,Fatehabad,1,Satisfactory,86,PM10
24-08-2019,Fatehabad,1,Satisfactory,93,PM10
25-08-2019,Fatehabad,1,Satisfactory,86,PM10
26-08-2019,Fatehabad,1,Satisfactory,53,PM10
27-08-2019,Fatehabad,1,Good,45,PM10
28-08-2019,Fatehabad,1,Satisfactory,51,PM10
29-08-2019,Fatehabad,1,Satisfactory,64,PM10
31-08-2019,Fatehabad,1,Satisfactory,75,PM10
01-09-2019,Fatehabad,1,Satisfactory,81,PM10
03-09-2019,Fatehabad,1,Satisfactory,69,PM10
04-09-2019,Fatehabad,1,Satisfactory,91,PM10
05-09-2019,Fatehabad,1,Satisfactory,86,PM10
06-09-2019,Fatehabad,1,Satisfactory,58,OZONE
07-09-2019,Fatehabad,1,Poor,295,PM2.5
09-09-2019,Fatehabad,1,Satisfactory,82,PM10
10-09-2019,Fatehabad,1,Moderate,128,PM10
11-09-2019,Fatehabad,1,Moderate,114,PM10
12-09-2019,Fatehabad,1,Moderate,110,PM10
13-09-2019,Fatehabad,1,Satisfactory,92,PM10
14-09-2019,Fatehabad,1,Satisfactory,74,PM10
15-09-2019,Fatehabad,1,Satisfactory,69,PM10
16-09-2019,Fatehabad,1,Satisfactory,62,PM10
17-09-2019,Fatehabad,1,Satisfactory,94,PM10
18-09-2019,Fatehabad,1,Moderate,114,PM10
19-09-2019,Fatehabad,1,Satisfactory,71,PM10
20-09-2019,Fatehabad,1,Satisfactory,54,PM10
21-09-2019,Fatehabad,1,Satisfactory,60,PM10
22-09-2019,Fatehabad,1,Satisfactory,75,PM10
23-09-2019,Fatehabad,1,Satisfactory,57,PM10
24-09-2019,Fatehabad,1,Satisfactory,55,PM10
25-09-2019,Fatehabad,1,Satisfactory,62,OZONE
26-09-2019,Fatehabad,1,Satisfactory,63,PM10
27-09-2019,Fatehabad,1,Satisfactory,57,PM10
