date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
19-02-2016,Agra,1,Poor,293,PM2.5
20-02-2016,Agra,1,Poor,299,PM2.5
21-02-2016,Agra,1,Moderate,180,PM2.5
22-02-2016,Agra,1,Satisfactory,76,PM2.5
23-02-2016,Agra,1,Moderate,159,PM2.5
24-02-2016,Agra,1,Poor,202,PM2.5
25-02-2016,Agra,1,Poor,224,PM2.5
26-02-2016,Agra,1,Poor,227,PM2.5
07-03-2016,Agra,1,Moderate,144,PM2.5
11-03-2016,Agra,1,Moderate,174,PM2.5
12-03-2016,Agra,1,Satisfactory,85,PM2.5
13-03-2016,Agra,1,Satisfactory,61,PM2.5
14-03-2016,Agra,1,Moderate,166,PM2.5
15-03-2016,Agra,1,Moderate,149,PM2.5
16-03-2016,Agra,1,Moderate,143,PM2.5
17-03-2016,Agra,1,Moderate,174,PM2.5
18-03-2016,Agra,1,Moderate,110,PM2.5
19-03-2016,Agra,1,Poor,210,PM2.5
20-03-2016,Agra,1,Moderate,196,PM2.5
21-03-2016,Agra,1,Moderate,153,PM2.5
22-03-2016,Agra,1,Satisfactory,57,PM2.5
23-03-2016,Agra,1,Satisfactory,73,PM2.5
24-03-2016,Agra,1,Moderate,194,PM2.5
25-03-2016,Agra,1,Poor,220,PM2.5
26-03-2016,Agra,1,Moderate,164,PM2.5
27-03-2016,Agra,1,Satisfactory,82,PM2.5
28-03-2016,Agra,1,Moderate,156,PM2.5
29-03-2016,Agra,1,Moderate,150,PM2.5
02-04-2016,Agra,1,Moderate,157,PM2.5
03-04-2016,Agra,1,Poor,214,PM2.5
04-04-2016,Agra,1,Poor,206,PM2.5
08-04-2016,Agra,1,Moderate,192,PM2.5
09-04-2016,Agra,1,Moderate,130,PM2.5
11-04-2016,Agra,1,Moderate,157,PM2.5
12-04-2016,Agra,1,Satisfactory,96,PM2.5
13-04-2016,Agra,1,Satisfactory,67,PM2.5
14-04-2016,Agra,1,Satisfactory,95,PM2.5
15-04-2016,Agra,1,Moderate,151,PM2.5
16-04-2016,Agra,1,Moderate,154,PM2.5
17-04-2016,Agra,1,Moderate,118,PM2.5
19-04-2016,Agra,1,Moderate,105,PM2.5
20-04-2016,Agra,1,Moderate,149,PM2.5
21-04-2016,Agra,1,Satisfactory,81,PM2.5
22-04-2016,Agra,1,Moderate,139,PM2.5
23-04-2016,Agra,1,Moderate,109,PM2.5
27-04-2016,Agra,1,Poor,270,PM2.5
28-04-2016,Agra,1,Severe,500,PM2.5
29-04-2016,Agra,1,Very Poor,396,PM2.5
30-04-2016,Agra,1,Good,35,NO2
01-05-2016,Agra,1,Good,30,NO2
03-05-2016,Agra,1,Moderate,158,PM2.5
13-05-2016,Agra,1,Good,39,O3
14-05-2016,Agra,1,Moderate,159,PM2.5
15-05-2016,Agra,1,Moderate,185,PM2.5
16-05-2016,Agra,1,Moderate,123,PM2.5
17-05-2016,Agra,1,Satisfactory,94,PM2.5
18-05-2016,Agra,1,Moderate,183,PM2.5
19-05-2016,Agra,1,Moderate,135,PM2.5
20-05-2016,Agra,1,Moderate,145,PM2.5
21-05-2016,Agra,1,Very Poor,313,PM2.5
22-05-2016,Agra,1,Moderate,108,PM2.5
23-05-2016,Agra,1,Moderate,163,PM2.5
24-05-2016,Agra,1,Satisfactory,92,PM2.5
25-05-2016,Agra,1,Satisfactory,84,PM2.5
26-05-2016,Agra,1,Satisfactory,95,PM2.5
27-05-2016,Agra,1,Poor,288,PM2.5
28-05-2016,Agra,1,Good,25,CO
02-06-2016,Agra,1,Good,39,O3
03-06-2016,Agra,1,Moderate,177,PM2.5
04-06-2016,Agra,1,Moderate,149,PM2.5
05-06-2016,Agra,1,Moderate,155,PM2.5
08-06-2016,Agra,1,Severe,500,CO
09-06-2016,Agra,1,Satisfactory,99,PM2.5
10-06-2016,Agra,1,Moderate,116,PM2.5
11-06-2016,Agra,1,Moderate,106,PM2.5
12-06-2016,Agra,1,Satisfactory,84,PM2.5
13-06-2016,Agra,1,Satisfactory,95,PM2.5
14-06-2016,Agra,1,Satisfactory,85,PM2.5
16-06-2016,Agra,1,Satisfactory,96,PM2.5
18-06-2016,Agra,1,Moderate,128,PM2.5
21-06-2016,Agra,1,Satisfactory,66,PM2.5
23-06-2016,Agra,1,Moderate,154,PM2.5
24-06-2016,Agra,1,Moderate,129,PM2.5
25-06-2016,Agra,1,Moderate,134,PM2.5
26-06-2016,Agra,1,Moderate,143,PM2.5
27-06-2016,Agra,1,Moderate,109,PM2.5
28-06-2016,Agra,1,Satisfactory,74,PM2.5
29-06-2016,Agra,1,Satisfactory,79,PM2.5
02-07-2016,Agra,1,Satisfactory,74,PM2.5
05-07-2016,Agra,1,Satisfactory,100,PM2.5
06-07-2016,Agra,1,Satisfactory,90,PM2.5
07-07-2016,Agra,1,Moderate,103,PM2.5
09-07-2016,Agra,1,Severe,500,O3
10-07-2016,Agra,1,Moderate,107,PM2.5
11-07-2016,Agra,1,Moderate,109,PM2.5
12-07-2016,Agra,1,Moderate,102,PM2.5
14-07-2016,Agra,1,Moderate,181,PM2.5
15-07-2016,Agra,1,Satisfactory,82,PM2.5
16-07-2016,Agra,1,Satisfactory,64,PM2.5
17-07-2016,Agra,1,Satisfactory,66,PM2.5
18-07-2016,Agra,1,Satisfactory,75,PM2.5
19-07-2016,Agra,1,Moderate,140,PM2.5
20-07-2016,Agra,1,Moderate,133,PM2.5
26-07-2016,Agra,1,Moderate,149,PM2.5
27-07-2016,Agra,1,Moderate,121,PM2.5
28-07-2016,Agra,1,Moderate,142,PM2.5
29-07-2016,Agra,1,Moderate,101,PM2.5
30-07-2016,Agra,1,Satisfactory,73,PM2.5
31-07-2016,Agra,1,Satisfactory,90,PM2.5
01-08-2016,Agra,1,Satisfactory,84,PM2.5
02-08-2016,Agra,1,Satisfactory,79,PM2.5
03-08-2016,Agra,1,Satisfactory,77,PM2.5
05-08-2016,Agra,1,Moderate,106,PM2.5
06-08-2016,Agra,1,Moderate,108,PM2.5
07-08-2016,Agra,1,Satisfactory,73,PM2.5
08-08-2016,Agra,1,Satisfactory,63,PM2.5
09-08-2016,Agra,1,Satisfactory,78,PM2.5
10-08-2016,Agra,1,Satisfactory,53,PM2.5
11-08-2016,Agra,1,Satisfactory,52,PM2.5
12-08-2016,Agra,1,Satisfactory,58,PM2.5
13-08-2016,Agra,1,Moderate,118,PM2.5
14-08-2016,Agra,1,Satisfactory,97,PM2.5
15-08-2016,Agra,1,Satisfactory,67,PM2.5
16-08-2016,Agra,1,Satisfactory,75,PM2.5
17-08-2016,Agra,1,Satisfactory,76,PM2.5
18-08-2016,Agra,1,Moderate,119,PM2.5
19-08-2016,Agra,1,Satisfactory,95,PM2.5
21-08-2016,Agra,1,Good,37,PM2.5
22-08-2016,Agra,1,Good,49,PM2.5
23-08-2016,Agra,1,Satisfactory,66,PM2.5
24-08-2016,Agra,1,Satisfactory,61,PM2.5
25-08-2016,Agra,1,Satisfactory,72,PM2.5
26-08-2016,Agra,1,Satisfactory,65,PM2.5
27-08-2016,Agra,1,Satisfactory,72,PM2.5
28-08-2016,Agra,1,Moderate,114,PM2.5
29-08-2016,Agra,1,Moderate,146,PM2.5
30-08-2016,Agra,1,Satisfactory,56,PM2.5
01-09-2016,Agra,1,Satisfactory,63,PM2.5
02-09-2016,Agra,1,Satisfactory,60,PM2.5
03-09-2016,Agra,1,Satisfactory,66,PM2.5
04-09-2016,Agra,1,Satisfactory,66,PM2.5
05-09-2016,Agra,1,Satisfactory,60,PM2.5
06-09-2016,Agra,1,Satisfactory,60,PM2.5
07-09-2016,Agra,1,Satisfactory,66,PM2.5
15-09-2016,Agra,1,Moderate,136,PM2.5
16-09-2016,Agra,1,Satisfactory,86,PM2.5
17-09-2016,Agra,1,Satisfactory,72,PM2.5
18-09-2016,Agra,1,Moderate,129,PM2.5
19-09-2016,Agra,1,Satisfactory,84,PM2.5
20-09-2016,Agra,1,Moderate,104,PM2.5
21-09-2016,Agra,1,Satisfactory,95,PM2.5
22-09-2016,Agra,1,Satisfactory,76,PM2.5
24-09-2016,Agra,1,Satisfactory,77,PM2.5
26-09-2016,Agra,1,Satisfactory,91,PM2.5
27-09-2016,Agra,1,Satisfactory,81,PM2.5
28-09-2016,Agra,1,Moderate,146,PM2.5
29-09-2016,Agra,1,Moderate,156,PM2.5
30-09-2016,Agra,1,Satisfactory,85,PM2.5
01-10-2016,Agra,1,Satisfactory,96,PM2.5
02-10-2016,Agra,1,Moderate,111,PM2.5
03-10-2016,Agra,1,Satisfactory,91,PM2.5
04-10-2016,Agra,1,Moderate,109,PM2.5
05-10-2016,Agra,1,Moderate,106,PM2.5
06-10-2016,Agra,1,Satisfactory,72,PM2.5
07-10-2016,Agra,1,Poor,238,PM2.5
08-10-2016,Agra,1,Very Poor,315,PM2.5
09-10-2016,Agra,1,Poor,264,PM2.5
10-10-2016,Agra,1,Moderate,113,PM2.5
11-10-2016,Agra,1,Moderate,184,PM2.5
12-10-2016,Agra,1,Poor,214,PM2.5
13-10-2016,Agra,1,Moderate,157,PM2.5
14-10-2016,Agra,1,Moderate,172,PM2.5
15-10-2016,Agra,1,Poor,243,PM2.5
16-10-2016,Agra,1,Poor,300,PM2.5
17-10-2016,Agra,1,Poor,257,PM2.5
18-10-2016,Agra,1,Poor,266,PM2.5
19-10-2016,Agra,1,Poor,272,PM2.5
20-10-2016,Agra,1,Poor,246,PM2.5
22-10-2016,Agra,1,Poor,214,PM2.5
23-10-2016,Agra,1,Poor,201,PM2.5
24-10-2016,Agra,1,Poor,257,PM2.5
25-10-2016,Agra,1,Moderate,176,PM2.5
26-10-2016,Agra,1,Poor,257,PM2.5
27-10-2016,Agra,1,Very Poor,333,PM2.5
28-10-2016,Agra,1,Very Poor,386,PM2.5
29-10-2016,Agra,1,Severe,435,PM2.5
30-10-2016,Agra,1,Severe,401,PM2.5
31-10-2016,Agra,1,Very Poor,384,PM2.5
01-11-2016,Agra,1,Severe,416,PM2.5
02-11-2016,Agra,1,Very Poor,368,PM2.5
05-11-2016,Agra,1,Severe,404,PM2.5
06-11-2016,Agra,1,Severe,491,PM2.5
07-11-2016,Agra,1,Severe,467,PM2.5
08-11-2016,Agra,1,Severe,434,PM2.5
09-11-2016,Agra,1,Severe,405,PM2.5
10-11-2016,Agra,1,Severe,441,PM2.5
11-11-2016,Agra,1,Severe,458,PM2.5
12-11-2016,Agra,1,Severe,413,PM2.5
14-11-2016,Agra,1,Very Poor,335,PM2.5
15-11-2016,Agra,1,Very Poor,333,PM2.5
16-11-2016,Agra,1,Very Poor,341,PM2.5
17-11-2016,Agra,1,Very Poor,364,PM2.5
18-11-2016,Agra,1,Very Poor,343,PM2.5
19-11-2016,Agra,1,Very Poor,396,PM2.5
20-11-2016,Agra,1,Very Poor,353,PM2.5
21-11-2016,Agra,1,Very Poor,364,PM2.5
22-11-2016,Agra,1,Severe,416,CO
23-11-2016,Agra,1,Severe,416,CO
24-11-2016,Agra,1,Very Poor,355,PM2.5
25-11-2016,Agra,1,Poor,292,PM2.5
26-11-2016,Agra,1,Moderate,143,PM2.5
29-11-2016,Agra,1,Poor,298,PM2.5
30-11-2016,Agra,1,Severe,404,PM2.5
01-12-2016,Agra,1,Severe,412,PM2.5
05-12-2016,Agra,1,Very Poor,369,PM2.5
06-12-2016,Agra,1,Severe,418,PM2.5
07-12-2016,Agra,1,Severe,401,PM2.5
08-12-2016,Agra,1,Severe,452,PM2.5
09-12-2016,Agra,1,Severe,426,PM2.5
10-12-2016,Agra,1,Very Poor,366,PM2.5
11-12-2016,Agra,1,Severe,423,PM2.5
12-12-2016,Agra,1,Severe,436,PM2.5
13-12-2016,Agra,1,Very Poor,349,PM2.5
14-12-2016,Agra,1,Very Poor,347,PM2.5
15-12-2016,Agra,1,Poor,284,PM2.5
16-12-2016,Agra,1,Poor,292,PM2.5
17-12-2016,Agra,1,Very Poor,351,PM2.5
18-12-2016,Agra,1,Very Poor,364,PM2.5
19-12-2016,Agra,1,Very Poor,366,PM2.5
20-12-2016,Agra,1,Very Poor,348,PM2.5
22-12-2016,Agra,1,Poor,255,PM2.5
23-12-2016,Agra,1,Very Poor,381,PM2.5
24-12-2016,Agra,1,Severe,483,PM2.5
25-12-2016,Agra,1,Severe,417,PM2.5
27-12-2016,Agra,1,Very Poor,305,PM2.5
28-12-2016,Agra,1,Very Poor,337,PM2.5
29-12-2016,Agra,1,Severe,410,PM2.5
30-12-2016,Agra,1,Very Poor,380,PM2.5
31-12-2016,Agra,1,Severe,423,PM2.5
01-01-2017,Agra,1,Severe,402,PM2.5
02-01-2017,Agra,1,Very Poor,371,PM2.5
03-01-2017,Agra,1,Severe,412,PM2.5
04-01-2017,Agra,1,Very Poor,385,PM2.5
05-01-2017,Agra,1,Very Poor,379,PM2.5
06-01-2017,Agra,1,Very Poor,345,PM2.5
07-01-2017,Agra,1,Very Poor,354,PM2.5
09-01-2017,Agra,1,Very Poor,328,PM2.5
10-01-2017,Agra,1,Poor,285,PM2.5
11-01-2017,Agra,1,Poor,261,PM2.5
12-01-2017,Agra,1,Poor,297,PM2.5
13-01-2017,Agra,1,Very Poor,355,PM2.5
17-01-2017,Agra,1,Very Poor,314,PM2.5
20-01-2017,Agra,1,Poor,286,PM2.5
21-01-2017,Agra,1,Poor,285,PM2.5
22-01-2017,Agra,1,Very Poor,368,PM2.5
23-01-2017,Agra,1,Very Poor,335,PM2.5
24-01-2017,Agra,1,Very Poor,352,PM2.5
25-01-2017,Agra,1,Very Poor,373,PM2.5
26-01-2017,Agra,1,Very Poor,339,PM2.5
27-01-2017,Agra,1,Moderate,114,PM2.5
28-01-2017,Agra,1,Poor,246,PM2.5
29-01-2017,Agra,1,Poor,299,PM2.5
30-01-2017,Agra,1,Very Poor,391,PM2.5
31-01-2017,Agra,1,Very Poor,388,PM2.5
01-02-2017,Agra,1,Very Poor,329,PM2.5
02-02-2017,Agra,1,Poor,291,PM2.5
03-02-2017,Agra,1,Very Poor,348,PM2.5
04-02-2017,Agra,1,Very Poor,343,PM2.5
05-02-2017,Agra,1,Very Poor,321,PM2.5
06-02-2017,Agra,1,Very Poor,357,PM2.5
07-02-2017,Agra,1,Poor,226,PM2.5
08-02-2017,Agra,1,Poor,281,PM2.5
09-02-2017,Agra,1,Very Poor,313,PM2.5
11-02-2017,Agra,1,Poor,244,PM2.5
12-02-2017,Agra,1,Very Poor,304,PM2.5
13-02-2017,Agra,1,Very Poor,334,PM2.5
14-02-2017,Agra,1,Poor,299,PM2.5
