date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
23-06-2021,Agartala,1,Good,38,PM2.5
24-06-2021,Agartala,1,Good,47,PM2.5
25-06-2021,Agartala,1,Good,48,PM2.5
26-06-2021,Agartala,1,Good,35,PM2.5
27-06-2021,Agartala,1,Good,40,PM2.5
28-06-2021,Agartala,1,Good,34,PM2.5
29-06-2021,Agartala,1,Good,31,PM2.5
03-07-2021,Agartala,1,Good,24,PM2.5
04-07-2021,Agartala,1,Good,22,SO2
05-07-2021,Agartala,1,Good,22,SO2
06-07-2021,Agartala,1,Good,28,PM2.5
09-07-2021,Agartala,1,Good,22,SO2
10-07-2021,Agartala,1,Good,28,PM2.5
15-07-2021,Agartala,1,Good,25,PM10
16-07-2021,Agartala,1,Good,34,PM10
17-07-2021,Agartala,1,Good,23,SO2
18-07-2021,Agartala,1,Good,24,SO2
19-07-2021,Agartala,1,Good,23,SO2
20-07-2021,Agartala,1,Good,23,SO2
21-07-2021,Agartala,1,Good,23,SO2
23-07-2021,Agartala,1,Good,23,SO2
24-07-2021,Agartala,1,Good,23,SO2
25-07-2021,Agartala,1,Good,24,PM10
26-07-2021,Agartala,1,Good,28,PM10
27-07-2021,Agartala,1,Good,23,SO2
28-07-2021,Agartala,1,Good,24,SO2
29-07-2021,Agartala,1,Good,23,SO2
30-07-2021,Agartala,1,Good,24,SO2
31-07-2021,Agartala,1,Good,23,SO2
01-08-2021,Agartala,1,Good,25,PM10
02-08-2021,Agartala,1,Good,31,PM10
03-08-2021,Agartala,1,Good,26,PM10
04-08-2021,Agartala,1,Good,25,PM10
05-08-2021,Agartala,1,Good,33,O3
06-08-2021,Agartala,1,Good,30,PM10
07-08-2021,Agartala,1,Good,23,SO2
08-08-2021,Agartala,1,Good,23,SO2
09-08-2021,Agartala,1,Good,23,SO2
11-08-2021,Agartala,1,Satisfactory,55,PM2.5
12-08-2021,Agartala,1,Good,41,PM10
13-08-2021,Agartala,1,Good,30,PM10
14-08-2021,Agartala,1,Good,32,PM10
15-08-2021,Agartala,1,Good,30,PM10
16-08-2021,Agartala,1,Good,23,SO2
17-08-2021,Agartala,1,Good,23,SO2
18-08-2021,Agartala,1,Good,23,SO2
19-08-2021,Agartala,1,Good,23,SO2
20-08-2021,Agartala,1,Good,23,SO2
21-08-2021,Agartala,1,Good,26,PM10
22-08-2021,Agartala,1,Good,25,PM10
24-08-2021,Agartala,1,Good,26,PM10
25-08-2021,Agartala,1,Good,27,PM10
26-08-2021,Agartala,1,Good,34,PM10
27-08-2021,Agartala,1,Good,29,PM10
28-08-2021,Agartala,1,Good,24,SO2
30-08-2021,Agartala,1,Good,24,SO2
31-08-2021,Agartala,1,Good,28,PM10
01-09-2021,Agartala,1,Good,27,PM10
02-09-2021,Agartala,1,Good,40,PM10
03-09-2021,Agartala,1,Satisfactory,71,PM2.5
04-09-2021,Agartala,1,Satisfactory,54,PM10
05-09-2021,Agartala,1,Satisfactory,58,PM10
06-09-2021,Agartala,1,Good,29,PM10
07-09-2021,Agartala,1,Good,32,PM10
08-09-2021,Agartala,1,Good,32,PM10
09-09-2021,Agartala,1,Good,34,PM10
10-09-2021,Agartala,1,Good,50,PM10
11-09-2021,Agartala,1,Good,31,PM10
12-09-2021,Agartala,1,Good,23,SO2
13-09-2021,Agartala,1,Good,26,PM10
14-09-2021,Agartala,1,Good,24,SO2
15-09-2021,Agartala,1,Good,29,PM10
16-09-2021,Agartala,1,Good,27,PM10
17-09-2021,Agartala,1,Good,31,PM10
18-09-2021,Agartala,1,Good,23,SO2
19-09-2021,Agartala,1,Good,24,SO2
20-09-2021,Agartala,1,Good,35,PM10
21-09-2021,Agartala,1,Good,47,PM10
22-09-2021,Agartala,1,Satisfactory,61,PM10
23-09-2021,Agartala,1,Satisfactory,64,PM10
24-09-2021,Agartala,1,Satisfactory,86,PM10
25-09-2021,Agartala,1,Satisfactory,64,PM10
28-09-2021,Agartala,1,Good,39,PM10
29-09-2021,Agartala,1,Good,31,PM10
30-09-2021,Agartala,1,Good,31,O3
03-10-2021,Agartala,1,Good,36,PM10
06-10-2021,Agartala,1,Good,40,O3
07-10-2021,Agartala,1,Satisfactory,81,PM2.5
08-10-2021,Agartala,1,Satisfactory,99,PM2.5
09-10-2021,Agartala,1,Moderate,112,PM2.5
10-10-2021,Agartala,1,Satisfactory,87,PM2.5
11-10-2021,Agartala,1,Satisfactory,82,PM10
12-10-2021,Agartala,1,Satisfactory,89,PM10
13-10-2021,Agartala,1,Satisfactory,51,O3
14-10-2021,Agartala,1,Satisfactory,70,PM10
15-10-2021,Agartala,1,Satisfactory,65,PM10
16-10-2021,Agartala,1,Good,28,PM10
17-10-2021,Agartala,1,Good,26,SO2
18-10-2021,Agartala,1,Good,26,SO2
20-10-2021,Agartala,1,Good,26,SO2
22-10-2021,Agartala,1,Satisfactory,81,PM10
23-10-2021,Agartala,1,Satisfactory,83,PM10
24-10-2021,Agartala,1,Satisfactory,97,PM2.5
25-10-2021,Agartala,1,Satisfactory,90,PM2.5
26-10-2021,Agartala,1,Satisfactory,87,PM10
27-10-2021,Agartala,1,Satisfactory,92,PM10
28-10-2021,Agartala,1,Satisfactory,69,PM10
29-10-2021,Agartala,1,Satisfactory,79,PM10
30-10-2021,Agartala,1,Satisfactory,86,PM10
31-10-2021,Agartala,1,Satisfactory,84,PM10
01-11-2021,Agartala,1,Moderate,122,PM2.5
02-11-2021,Agartala,1,Moderate,122,PM2.5
03-11-2021,Agartala,1,Moderate,167,PM2.5
04-11-2021,Agartala,1,Moderate,129,PM2.5
05-11-2021,Agartala,1,Poor,242,PM2.5
06-11-2021,Agartala,1,Moderate,127,PM2.5
07-11-2021,Agartala,1,Moderate,117,PM2.5
08-11-2021,Agartala,1,Satisfactory,83,PM10
09-11-2021,Agartala,1,Satisfactory,82,PM10
10-11-2021,Agartala,1,Moderate,130,PM2.5
11-11-2021,Agartala,1,Moderate,103,PM2.5
12-11-2021,Agartala,1,Moderate,137,PM2.5
13-11-2021,Agartala,1,Moderate,121,PM2.5
14-11-2021,Agartala,1,Satisfactory,82,PM2.5
15-11-2021,Agartala,1,Moderate,156,PM2.5
16-11-2021,Agartala,1,Moderate,132,PM2.5
17-11-2021,Agartala,1,Moderate,131,PM2.5
18-11-2021,Agartala,1,Satisfactory,86,PM2.5
19-11-2021,Agartala,1,Moderate,111,PM2.5
20-11-2021,Agartala,1,Moderate,113,PM2.5
21-11-2021,Agartala,1,Moderate,154,PM2.5
22-11-2021,Agartala,1,Moderate,181,PM2.5
23-11-2021,Agartala,1,Moderate,177,PM2.5
24-11-2021,Agartala,1,Moderate,194,PM2.5
25-11-2021,Agartala,1,Moderate,166,PM2.5
26-11-2021,Agartala,1,Poor,224,PM2.5
27-11-2021,Agartala,1,Poor,239,PM2.5
28-11-2021,Agartala,1,Poor,217,PM2.5
29-11-2021,Agartala,1,Moderate,176,PM2.5
30-11-2021,Agartala,1,Moderate,155,PM2.5
01-12-2021,Agartala,1,Moderate,117,PM2.5
02-12-2021,Agartala,1,Satisfactory,85,PM10
03-12-2021,Agartala,1,Moderate,114,PM2.5
04-12-2021,Agartala,1,Satisfactory,96,PM10
05-12-2021,Agartala,1,Moderate,150,PM2.5
06-12-2021,Agartala,1,Satisfactory,55,PM2.5
07-12-2021,Agartala,1,Good,27,SO2
08-12-2021,Agartala,1,Good,30,PM10
09-12-2021,Agartala,1,Satisfactory,61,PM10
10-12-2021,Agartala,1,Satisfactory,87,PM10
11-12-2021,Agartala,1,Moderate,189,PM2.5
12-12-2021,Agartala,1,Moderate,183,PM2.5
13-12-2021,Agartala,1,Moderate,176,PM2.5
14-12-2021,Agartala,1,Moderate,193,PM2.5
15-12-2021,Agartala,1,Poor,224,PM2.5
16-12-2021,Agartala,1,Moderate,149,PM2.5
17-12-2021,Agartala,1,Moderate,133,PM2.5
18-12-2021,Agartala,1,Moderate,162,PM2.5
19-12-2021,Agartala,1,Poor,206,PM2.5
20-12-2021,Agartala,1,Poor,264,PM2.5
21-12-2021,Agartala,1,Very Poor,317,PM2.5
22-12-2021,Agartala,1,Poor,278,PM2.5
