date,City,No. Stations,Air Quality,Index Value,Prominent Pollutant
07-03-2021,Aizawl,1,Satisfactory,63,PM10
08-03-2021,Aizawl,1,Satisfactory,76,PM10
09-03-2021,Aizawl,1,Satisfactory,89,PM10
10-03-2021,Aizawl,1,Satisfactory,84,PM10
11-03-2021,Aizawl,1,Satisfactory,83,PM10
12-03-2021,Aizawl,1,Satisfactory,92,PM10
13-03-2021,Aizawl,1,Moderate,127,PM2.5
14-03-2021,Aizawl,1,Moderate,110,PM10
15-03-2021,Aizawl,1,Satisfactory,80,PM10
16-03-2021,Aizawl,1,Satisfactory,100,PM10
17-03-2021,Aizawl,1,Satisfactory,98,PM10
18-03-2021,Aizawl,1,Moderate,110,PM10
19-03-2021,Aizawl,1,Moderate,149,PM10
20-03-2021,Aizawl,1,Moderate,154,PM10
21-03-2021,Aizawl,1,Moderate,136,PM10
22-03-2021,Aizawl,1,Satisfactory,93,PM10
23-03-2021,Aizawl,1,Satisfactory,90,PM10
24-03-2021,Aizawl,1,Moderate,109,PM10
25-03-2021,Aizawl,1,Moderate,162,PM2.5
26-03-2021,Aizawl,1,Satisfactory,93,PM10
27-03-2021,Aizawl,1,Moderate,103,PM10
28-03-2021,Aizawl,1,Moderate,115,PM10
29-03-2021,Aizawl,1,Moderate,124,PM10
30-03-2021,Aizawl,1,Satisfactory,93,PM10
31-03-2021,Aizawl,1,Satisfactory,93,PM10
01-04-2021,Aizawl,1,Satisfactory,73,PM10
02-04-2021,Aizawl,1,Satisfactory,86,PM10
03-04-2021,Aizawl,1,Satisfactory,93,PM10
04-04-2021,Aizawl,1,Satisfactory,71,PM10
05-04-2021,Aizawl,1,Good,50,PM10
06-04-2021,Aizawl,1,Satisfactory,72,PM10
07-04-2021,Aizawl,1,Satisfactory,89,PM10
08-04-2021,Aizawl,1,Satisfactory,93,PM10
09-04-2021,Aizawl,1,Satisfactory,69,PM10
10-04-2021,Aizawl,1,Satisfactory,65,PM10
11-04-2021,Aizawl,1,Satisfactory,72,PM10
12-04-2021,Aizawl,1,Satisfactory,78,PM10
13-04-2021,Aizawl,1,Satisfactory,76,PM10
14-04-2021,Aizawl,1,Satisfactory,71,PM10
15-04-2021,Aizawl,1,Satisfactory,67,PM10
16-04-2021,Aizawl,1,Satisfactory,62,PM10
17-04-2021,Aizawl,1,Satisfactory,51,PM10
18-04-2021,Aizawl,1,Good,31,PM10
19-04-2021,Aizawl,1,Good,33,PM10
20-04-2021,Aizawl,1,Good,49,PM10
21-04-2021,Aizawl,1,Satisfactory,64,PM10
22-04-2021,Aizawl,1,Satisfactory,63,PM10
23-04-2021,Aizawl,1,Satisfactory,69,PM10
24-04-2021,Aizawl,1,Good,47,PM10
25-04-2021,Aizawl,1,Good,50,PM10
26-04-2021,Aizawl,1,Satisfactory,73,PM10
27-04-2021,Aizawl,1,Satisfactory,77,PM10
28-04-2021,Aizawl,1,Satisfactory,76,PM10
29-04-2021,Aizawl,1,Satisfactory,61,PM10
30-04-2021,Aizawl,1,Satisfactory,61,PM10
01-05-2021,Aizawl,1,Good,38,PM10
02-05-2021,Aizawl,1,Good,38,PM10
03-05-2021,Aizawl,1,Good,40,PM10
04-05-2021,Aizawl,1,Good,18,PM2.5
05-05-2021,Aizawl,1,Good,19,PM10
06-05-2021,Aizawl,1,Good,29,PM10
07-05-2021,Aizawl,1,Good,33,PM10
08-05-2021,Aizawl,1,Good,27,PM10
09-05-2021,Aizawl,1,Good,22,PM10
10-05-2021,Aizawl,1,Good,20,PM10
11-05-2021,Aizawl,1,Good,20,PM10
12-05-2021,Aizawl,1,Good,15,PM10
13-05-2021,Aizawl,1,Good,10,PM10
16-05-2021,Aizawl,1,Good,22,PM10
17-05-2021,Aizawl,1,Good,25,PM10
18-05-2021,Aizawl,1,Good,28,PM10
19-05-2021,Aizawl,1,Good,20,PM10
20-05-2021,Aizawl,1,Good,18,PM10
21-05-2021,Aizawl,1,Good,13,PM10
22-05-2021,Aizawl,1,Good,17,PM10
23-05-2021,Aizawl,1,Good,31,PM10
24-05-2021,Aizawl,1,Good,20,PM10
25-05-2021,Aizawl,1,Good,13,PM10
26-05-2021,Aizawl,1,Good,12,PM10
27-05-2021,Aizawl,1,Good,37,PM10
28-05-2021,Aizawl,1,Good,35,PM10
29-05-2021,Aizawl,1,Good,39,PM10
30-05-2021,Aizawl,1,Good,40,PM10
31-05-2021,Aizawl,1,Good,41,PM10
01-06-2021,Aizawl,1,Good,27,PM10
02-06-2021,Aizawl,1,Good,11,PM10
03-06-2021,Aizawl,1,Good,22,PM10
04-06-2021,Aizawl,1,Good,27,PM10
05-06-2021,Aizawl,1,Good,18,PM10
06-06-2021,Aizawl,1,Good,18,PM10
07-06-2021,Aizawl,1,Good,21,PM10
08-06-2021,Aizawl,1,Good,19,PM10
09-06-2021,Aizawl,1,Good,21,PM10
10-06-2021,Aizawl,1,Good,11,PM10
11-06-2021,Aizawl,1,Good,15,PM10
13-06-2021,Aizawl,1,Good,10,SO2
15-06-2021,Aizawl,1,Good,11,SO2
16-06-2021,Aizawl,1,Good,11,SO2
17-06-2021,Aizawl,1,Good,15,PM10
20-06-2021,Aizawl,1,Good,9,SO2
21-06-2021,Aizawl,1,Good,12,PM10
23-06-2021,Aizawl,1,Good,20,PM10
24-06-2021,Aizawl,1,Good,28,PM10
25-06-2021,Aizawl,1,Good,36,PM10
26-06-2021,Aizawl,1,Good,33,PM10
27-06-2021,Aizawl,1,Good,30,PM10
28-06-2021,Aizawl,1,Good,26,PM10
29-06-2021,Aizawl,1,Good,19,PM10
01-07-2021,Aizawl,1,Good,11,SO2
02-07-2021,Aizawl,1,Good,16,PM10
03-07-2021,Aizawl,1,Good,18,PM10
04-07-2021,Aizawl,1,Good,13,SO2
05-07-2021,Aizawl,1,Good,14,SO2
06-07-2021,Aizawl,1,Good,17,PM10
07-07-2021,Aizawl,1,Good,22,PM10
08-07-2021,Aizawl,1,Good,14,SO2
09-07-2021,Aizawl,1,Good,15,PM10
11-07-2021,Aizawl,1,Good,13,SO2
12-07-2021,Aizawl,1,Good,14,SO2
15-07-2021,Aizawl,1,Good,16,PM10
16-07-2021,Aizawl,1,Good,18,PM10
18-07-2021,Aizawl,1,Good,15,SO2
20-07-2021,Aizawl,1,Good,16,SO2
22-07-2021,Aizawl,1,Good,17,SO2
25-07-2021,Aizawl,1,Good,20,PM10
26-07-2021,Aizawl,1,Good,24,PM10
31-07-2021,Aizawl,1,Good,24,PM10
01-08-2021,Aizawl,1,Good,19,PM10
03-08-2021,Aizawl,1,Good,17,SO2
05-08-2021,Aizawl,1,Good,18,SO2
06-08-2021,Aizawl,1,Good,18,SO2
08-08-2021,Aizawl,1,Good,17,SO2
09-08-2021,Aizawl,1,Good,17,SO2
10-08-2021,Aizawl,1,Good,19,SO2
11-08-2021,Aizawl,1,Good,23,PM10
12-08-2021,Aizawl,1,Good,21,PM10
13-08-2021,Aizawl,1,Good,19,SO2
14-08-2021,Aizawl,1,Good,18,SO2
15-08-2021,Aizawl,1,Good,18,SO2
18-08-2021,Aizawl,1,Good,18,SO2
19-08-2021,Aizawl,1,Good,18,SO2
20-08-2021,Aizawl,1,Good,18,SO2
21-08-2021,Aizawl,1,Good,19,SO2
22-08-2021,Aizawl,1,Good,19,SO2
23-08-2021,Aizawl,1,Good,19,SO2
24-08-2021,Aizawl,1,Good,20,SO2
25-08-2021,Aizawl,1,Good,20,SO2
26-08-2021,Aizawl,1,Good,20,SO2
27-08-2021,Aizawl,1,Good,20,SO2
28-08-2021,Aizawl,1,Good,21,SO2
30-08-2021,Aizawl,1,Good,20,SO2
31-08-2021,Aizawl,1,Good,21,SO2
01-09-2021,Aizawl,1,Good,21,SO2
02-09-2021,Aizawl,1,Good,21,SO2
03-09-2021,Aizawl,1,Good,21,SO2
05-09-2021,Aizawl,1,Good,22,SO2
06-09-2021,Aizawl,1,Good,22,SO2
08-09-2021,Aizawl,1,Good,21,SO2
09-09-2021,Aizawl,1,Good,21,SO2
11-09-2021,Aizawl,1,Good,22,SO2
12-09-2021,Aizawl,1,Good,23,SO2
13-09-2021,Aizawl,1,Good,23,SO2
14-09-2021,Aizawl,1,Good,23,SO2
20-09-2021,Aizawl,1,Good,20,CO
21-09-2021,Aizawl,1,Good,21,SO2
